Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:45 EST
"Nutrient data for: 03136, Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 15.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Heinz Strained-2 (4.25 oz) = 120.0g",
Proximates
"Water",g,80.30,12.04,22.77,90.74,90.74,96.36
"Energy",kcal,69,10,20,78,78,83
"Protein",g,0.60,0.09,0.17,0.68,0.68,0.72
"Total lipid (fat)",g,0.10,0.01,0.03,0.11,0.11,0.12
"Carbohydrate, by difference",g,18.50,2.77,5.24,20.91,20.91,22.20
"Fiber, total dietary",g,2.7,0.4,0.8,3.1,3.1,3.2
"Sugars, total",g,10.97,1.65,3.11,12.40,12.40,13.16
Minerals
"Calcium, Ca",mg,15,2,4,17,17,18
"Iron, Fe",mg,0.35,0.05,0.10,0.40,0.40,0.42
"Magnesium, Mg",mg,10,2,3,11,11,12
"Phosphorus, P",mg,15,2,4,17,17,18
"Potassium, K",mg,177,27,50,200,200,212
"Sodium, Na",mg,5,1,1,6,6,6
"Zinc, Zn",mg,0.09,0.01,0.03,0.10,0.10,0.11
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,0.1,0.2,0.9,0.9,1.0
"Thiamin",mg,0.022,0.003,0.006,0.025,0.025,0.026
"Riboflavin",mg,0.075,0.011,0.021,0.085,0.085,0.090
"Niacin",mg,0.525,0.079,0.149,0.593,0.593,0.630
"Vitamin B-6",mg,0.081,0.012,0.023,0.092,0.092,0.097
"Folate, DFE",µg,1,0,0,1,1,1
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,23,3,7,26,26,28
"Vitamin A, IU",IU,453,68,128,512,512,544
"Vitamin E (alpha-tocopherol)",mg,0.60,0.09,0.17,0.68,0.68,0.72
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,15.6,2.3,4.4,17.6,17.6,18.7
Lipids
"Fatty acids, total saturated",g,0.008,0.001,0.002,0.009,0.009,0.010
"Fatty acids, total monounsaturated",g,0.066,0.010,0.019,0.075,0.075,0.079
"Fatty acids, total polyunsaturated",g,0.022,0.003,0.006,0.025,0.025,0.026
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
