Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:46 EST
"Nutrient data for: 43523, Babyfood, mixed fruit yogurt, strained"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 15.0g","1 jar NFS = 113.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Beech-Nut Stage 2 (4 oz) = 113.0g","1 jar Heinz Strained-2 (4.25 oz) = 120.0g",
Proximates
"Water",g,81.80,12.27,92.43,92.43,92.43,98.16
"Energy",kcal,75,11,85,85,85,90
"Protein",g,0.80,0.12,0.90,0.90,0.90,0.96
"Total lipid (fat)",g,0.80,0.12,0.90,0.90,0.90,0.96
"Carbohydrate, by difference",g,16.23,2.43,18.34,18.34,18.34,19.48
"Fiber, total dietary",g,0.4,0.1,0.5,0.5,0.5,0.5
"Sugars, total",g,11.74,1.76,13.27,13.27,13.27,14.09
Minerals
"Calcium, Ca",mg,28,4,32,32,32,34
"Iron, Fe",mg,0.20,0.03,0.23,0.23,0.23,0.24
"Magnesium, Mg",mg,4,1,5,5,5,5
"Phosphorus, P",mg,22,3,25,25,25,26
"Potassium, K",mg,62,9,70,70,70,74
"Sodium, Na",mg,16,2,18,18,18,19
"Zinc, Zn",mg,0.11,0.02,0.12,0.12,0.12,0.13
Vitamins
"Vitamin C, total ascorbic acid",mg,11.7,1.8,13.2,13.2,13.2,14.0
"Thiamin",mg,0.020,0.003,0.023,0.023,0.023,0.024
"Riboflavin",mg,0.050,0.007,0.057,0.057,0.057,0.060
"Niacin",mg,0.140,0.021,0.158,0.158,0.158,0.168
"Vitamin B-6",mg,0.040,0.006,0.045,0.045,0.045,0.048
"Folate, DFE",µg,2,0,2,2,2,2
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,5,1,6,6,6,6
"Vitamin A, IU",IU,67,10,76,76,76,80
"Vitamin E (alpha-tocopherol)",mg,0.13,0.02,0.15,0.15,0.15,0.16
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.5,0.1,0.6,0.6,0.6,0.6
Lipids
"Fatty acids, total saturated",g,0.517,0.078,0.584,0.584,0.584,0.620
"Fatty acids, total monounsaturated",g,0.219,0.033,0.247,0.247,0.247,0.263
"Fatty acids, total polyunsaturated",g,0.022,0.003,0.025,0.025,0.025,0.026
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
